TV_Name,Rating,Info_Raw,Price,Offers,Deal_Type,rating_review,name,size_cm,size_inch,display,edition,model_id,sound_output,warranty_years,rating_count,review_count
XIAOMI Fire Tv 80 cm (32 inch) HD Ready LED Smart Fire TV 2025 Edition with High-Definition Display | ...,4.3,HD Ready | LED Model ID: L32MB-FIN Launch Year: 2025 Total Sound Output: 20 W 1 year comprehensive warranty,11499,54,Hot Deal,"1,07,508 Ratings & 6,963 Reviews",XIAOMI,80,32.0,LED, 80,L32MB-FIN,32,0,107508,6963
Thomson FA Series 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Digital Plus & Android 11,4.3,HD Ready | LED Model ID: 32RT1022 Launch Year: 2023 Total Sound Output: 30 W 1 Year Warranty on Product and 6 Months Warranty on Accessories,7999,55,Upto 2000 Off on Exchange,"1,28,178 Ratings & 21,889 Reviews",Thomson,80,32.0,LED, 80,32RT1022,32,1,128178,21889
TOSHIBA 55Z570RP 139 cm (55 inch) QLED Ultra HD (4K) Smart VIDAA TV 2025 Edition with Dolby Vision IQ ...,4.3,Ultra HD (4K) | QLED Model ID: 55Z570RP Launch Year: 2025 Total Sound Output: 24 W 2 Years Comprehensive Warranty,37799,46,Hot Deal,"5,383 Ratings & 825 Reviews",TOSHIBA,139,55.0,QLED, 55,55Z570RP,55,2,5383,825
XIAOMI G Series 80 cm (32 inch) QLED HD Ready Smart Google TV 2025 Edition with Dolby Audio| Wide Colo...,4,HD Ready | QLED Model ID: L32MB-APIN Launch Year: 2025 Total Sound Output: 20 W 1 year comprehensive warranty on product and 1 year additional on Panel provided by the brand from the date of purchase,12999,51,Upto 2000 Off on Exchange,"12,783 Ratings & 720 Reviews",XIAOMI,80,32.0,QLED, 80,L32MB-APIN,32,0,12783,720
MOTOROLA 80 cm (32 inch) QLED HD Ready Smart Google TV 2025 Edition,4.3,HD Ready | QLED Model ID: 32HDGQMDDAQ Launch Year: 2025 Total Sound Output: 40 W 1 year Warranty for Manufacturing Defects,10490,61,Hot Deal,"12,142 Ratings & 1,189 Reviews",MOTOROLA,80,32.0,QLED, 80,32HDGQMDDAQ,32,0,12142,1189
Thomson 60 cm (24 inch) HD Ready LED TV 2025 Edition with 20W Sound Output | 2 Speakers | Wide View An...,4.1,HD Ready | LED Model ID: 24TM2490-25 Launch Year: 2025 Total Sound Output: 20 W 1 Year Warranty on Product & 6 Months on Accessories,5499,47,Upto 6650 Off on Exchange,"31,481 Ratings & 3,651 Reviews",Thomson,60,24.0,LED, 60,24TM2490-25,24,1,31481,3651
XIAOMI FX Pro 108 cm (43 inch) QLED Ultra HD (4K) Smart Fire TV 2025 Edition with Alexa built-in | HDR...,4,Ultra HD (4K) | QLED Model ID: L43MB-FPIN Launch Year: 2025 Total Sound Output: 30 W 1 year comprehensive warranty,24999,44,Hot Deal,"12,783 Ratings & 720 Reviews",XIAOMI,108,43.0,QLED, 108,L43MB-FPIN,43,0,12783,720
Coocaa Y74 Plus 138 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2025 Edition with Dolby Audio | 32 ...,4,Ultra HD (4K) | LED Model ID: 55Y74 Plus Launch Year: 2025 Total Sound Output: 20 W 1 Year Domestic Warranty,22999,58,Only few left,784 Ratings & 80 Reviews,Coocaa,138,55.0,LED,74,55Y74,55,1,784,80
"MOTOROLA 140 cm (55 inch) QLED Ultra HD (4K) Smart Google TV 2025 Edition with 5.0 with 48 W speaker, ...",4.3,Ultra HD (4K) | QLED Model ID: 55UHDGQMVSAQ Launch Year: 2025 Total Sound Output: 48 W 1 year Warranty for Manufacturing Defects,29999,49,Hot Deal,"12,142 Ratings & 1,189 Reviews",MOTOROLA,140,55.0,QLED, 140,55UHDGQMVSAQ,55,0,12142,1189
TCL T6C 164 cm (65 inch) QLED Ultra HD (4K) Smart Google TV 2025 Edition with HDR 10+ | Dolby Vision- ...,4,Ultra HD (4K) | QLED Model ID: 65T6C Launch Year: 2025 Total Sound Output: 24 W 2 Years Product Warranty,53999,53,Upto 2000 Off on Exchange,"6,394 Ratings & 436 Reviews",TCL,164,65.0,QLED,6,65T6C,65,2,6394,436
MOTOROLA 127 cm (50 inch) Ultra HD (4K) Mini LED Smart Google TV with Edition with Dolby Vision & Dolb...,4.4,Ultra HD (4K) | Mini LED Model ID: 50UHDGMMWKRQ Launch Year: 2024 Total Sound Output: 20 W 1 year Warranty for Manufacturing Defects,21999,63,Hot Deal,802 Ratings & 105 Reviews,MOTOROLA,127,50.0,Mini LED, 127,50UHDGMMWKRQ,50,0,802,105
Coocaa S4U Plus 108 cm (43 inch) Full HD LED Smart Coolita TV 2025 Edition with Dolby Audio| Narrow Fr...,4.1,Full HD | LED Model ID: 43S4U Plus Launch Year: 2025 Total Sound Output: 30 W 1 Year Domestic Warranty,12999,27,Upto 2000 Off on Exchange,"20,480 Ratings & 2,326 Reviews",Coocaa,108,43.0,LED,4,43S4U,43,1,20480,2326
MarQ by Flipkart 60 cm (24 inch) HD Ready LED TV,4.1,HD Ready | LED Model ID: 24HDNDQEETB Launch Year: 2024 Total Sound Output: 20 W 12 Months Warranty,4999,66,Hot Deal,"10,499 Ratings & 790 Reviews",MarQ,60,24.0,LED, 60,24HDNDQEETB,24,0,10499,790
realme TechLife 109 cm (43 inch) QLED Ultra HD (4K) Smart Google TV 2025 Edition with 5.0 with Dolby A...,4.3,Ultra HD (4K) | QLED Model ID: 43UHDGQRVSAQ Launch Year: 2025 Total Sound Output: 40 W 12 Months Warranty,22499,53,Upto 8150 Off on Exchange,"16,382 Ratings & 1,304 Reviews",realme,109,43.0,QLED, 109,43UHDGQRVSAQ,43,0,16382,1304
Samsung Crystal 4K Infinity Vision 163 cm (65 inch) Ultra HD (4K) LED Smart Tizen TV 2025 Edition with...,4.3,Ultra HD (4K) | LED Model ID: UA65UE84AFULXL Launch Year: 2025 Total Sound Output: 20 W 2 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on Panel),59990,29,Upto 2000 Off on Exchange,"68,079 Ratings & 4,567 Reviews",Samsung,163,65.0,LED, 4,UA65UE84AFULXL,65,2,68079,4567
Samsung Crystal 4K Infinity Vision 163 cm (65 inch) Ultra HD (4K) LED Smart Tizen TV 2025 Edition with...,4.3,Ultra HD (4K) | LED Model ID: UA65UE84AFULXL Launch Year: 2025 Total Sound Output: 20 W 2 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on Panel),59990,29,Hot Deal,"68,079 Ratings & 4,567 Reviews",Samsung,163,65.0,LED, 4,UA65UE84AFULXL,65,2,68079,4567
TCL 55Q6CS 139 cm (55 inch) Ultra HD (4K) Mini LED Smart Google TV 2025 Edition with High HDR Brightne...,4,Ultra HD (4K) | Mini LED Model ID: 55Q6CS Launch Year: 2025 Total Sound Output: 40 W 2 Years Product Warranty,45990,58,Upto 6650 Off on Exchange,"1,390 Ratings & 156 Reviews",TCL,139,55.0,Mini LED, 55,55Q6CS,55,2,1390,156
XIAOMI A Series 108 cm (43 inch) Full HD LED Smart Google TV 2025 Edition with 200+ Free Channels | HD...,4.3,Full HD | LED Model ID: L43MB-AFIN Launch Year: 2025 Total Sound Output: 20 W 1 year comprehensive warranty on product and 1 year additional on Panel provided by the brand from the date of purchase,19999,35,Upto 6650 Off on Exchange,"1,07,508 Ratings & 6,963 Reviews",XIAOMI,108,43.0,LED, 108,L43MB-AFIN,43,0,107508,6963
XIAOMI F Pro 138 cm (55 inch) QLED Ultra HD (4K) Smart Fire TV 2025 Edition with 34W Box Speakers | Do...,4,Ultra HD (4K) | QLED Model ID: L55MB-FPIN Launch Year: 2025 Total Sound Output: 34 W 1 year comprehensive warranty,32999,47,Bank Offer,"12,783 Ratings & 720 Reviews",XIAOMI,138,55.0,QLED, 138,L55MB-FPIN,55,0,12783,720
realme TechLife 139 cm (55 inch) QLED Ultra HD (4K) Smart Google TV 2025 Edition,4.3,Ultra HD (4K) | QLED Model ID: 55UHDGQRDDVQ Launch Year: 2025 Total Sound Output: 40 W 1 year Warranty for Manufacturing Defects (Applicable only in INDIA),28499,56,Lowest price since launch,"16,382 Ratings & 1,304 Reviews",realme,139,55.0,QLED, 139,55UHDGQRDDVQ,55,0,16382,1304
LG AI TV UA8200 164 cm (65 inch) Ultra HD (4K) LED Smart WebOS TV 2025 Edition with Alpha7 AI Processo...,4.4,Ultra HD (4K) | LED Model ID: 65UA82006LA Launch Year: 2025 Total Sound Output: 20 W Warranty Information: 1-Year LG India Standard Warranty on Product from the date of purchase (T&C Apply) and 1-year standard warranty on the remote control (only for tech defect in remote controller).,62990,40,Upto 2000 Off on Exchange,"34,142 Ratings & 2,334 Reviews",LG,164,65.0,LED,8200,65UA82006LA,65,0,34142,2334
Samsung Crystal 4K Infinity Vision 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV 2025 Edition with...,4.3,Ultra HD (4K) | LED Model ID: UA43UE84AFULXL Launch Year: 2025 Total Sound Output: 20 W 2 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on Panel),28490,31,Hot Deal,"68,079 Ratings & 4,567 Reviews",Samsung,108,43.0,LED, 4,UA43UE84AFULXL,43,2,68079,4567
XIAOMI X Series 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2025 Edition with Dolby Vision | HD...,4.3,Ultra HD (4K) | LED Model ID: L43MB-AIN Launch Year: 2025 Total Sound Output: 30 W Enjoy 2 Years of Warranty � 1st Year Comprehensive Warranty + 1 Additional Year of Free Warranty on the Display Panel,24999,34,Upto 6650 Off on Exchange,"81,898 Ratings & 6,088 Reviews",XIAOMI,108,43.0,LED, 108,L43MB-AIN,43,2,81898,6088
XIAOMI X Series 138 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2025 Edition with Dolby Vision | HD...,4.3,Ultra HD (4K) | LED Model ID: L55MB-AIN Launch Year: 2025 Total Sound Output: 34 W Enjoy 2 Years of Warranty � 1st Year Comprehensive Warranty + 1 Additional Year of Free Warranty on the Display Panel,34999,28,Upto 6650 Off on Exchange,"81,898 Ratings & 6,088 Reviews",XIAOMI,138,55.0,LED, 138,L55MB-AIN,55,2,81898,6088
XIAOMI A 80 cm (32 inch) HD Ready LED Smart Google TV 2025 Edition with 200+ Free Channels | HDR 10 | ...,4.3,HD Ready | LED Model ID: L32MB-AIN Launch Year: 2025 Total Sound Output: 20 W 1 year comprehensive warranty on product and 1 year additional on Panel provided by the brand from the date of purchase,12499,50,Hot Deal,"1,07,508 Ratings & 6,963 Reviews",XIAOMI,80,32.0,LED, 80,L32MB-AIN,32,0,107508,6963
BESTON 101 cm (40 inch) Full HD LED Smart Android TV 2025 Edition,3.8,"Full HD | LED Model ID: BS40FGQ1 Launch Year: 2025 Total Sound Output: 20 W 2 Year warranty on Product , Onsite Warranty on Product and No Delivery Damages Covered",10999,45,Upto 6650 Off on Exchange,"3,395 Ratings & 374 Reviews",BESTON,101,40.0,LED, 101,BS40FGQ1,40,2,3395,374
XIAOMI X Pro CineMagiQLED 138 cm (55 inch) QLED Ultra HD (4K) Smart Google TV 2025 Edition with Dolby ...,4,Ultra HD (4K) | QLED Model ID: L55MB-APIN Launch Year: 2025 Total Sound Output: 34 W Enjoy 2 Years of Warranty � 1st Year Comprehensive Warranty + 1 Additional Year of Free Warranty on the Display Panel,39999,36,Hot Deal,"12,783 Ratings & 720 Reviews",XIAOMI,138,55.0,QLED, 138,L55MB-APIN,55,2,12783,720
Foxsky 60 cm (24 inch) HD Ready LED Smart Android TV 2025 Edition,4.1,HD Ready | LED Model ID: 24 FSELS PRO Launch Year: 2025 Total Sound Output: 30 W 1-Year Foxsky Standard Warranty on Product from the date of purchase,5499,44,Upto 2000 Off on Exchange,"14,292 Ratings & 2,667 Reviews",Foxsky,60,24.0,LED, 60,24,24,0,14292,2667
Samsung 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV 2025 Edition with Vision AI |100% Color Vol...,4.1,Ultra HD (4K) | QLED Model ID: QA55QEF6AULXL Launch Year: 2025 Total Sound Output: 20 W 2 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on Panel),43990,41,Bank Offer,"2,438 Ratings & 147 Reviews",Samsung,138,55.0,QLED, 138,QA55QEF6AULXL,55,2,2438,147
Thomson 80 cm (32 inch) HD Ready LED TV 2025 Edition with 20W Sound Output | 2 Speakers | Wide View An...,4.1,HD Ready | LED Model ID: 32TM3290-25 Launch Year: 2025 Total Sound Output: 20 W 1 Year Warranty on Product & 6 Months on Accessories,6999,56,Upto 6650 Off on Exchange,"31,789 Ratings & 4,951 Reviews",Thomson,80,32.0,LED, 80,32TM3290-25,32,1,31789,4951
Thomson NeoX 164 cm (65 inch) QLED Ultra HD (4K) Smart Google TV with 70W Sound Output powered by Blau...,4.3,Ultra HD (4K) | QLED Model ID: 65NEOX0009 Launch Year: 2025 Total Sound Output: 70 W 1 Year Warranty on Product,43999,37,Upto 6650 Off on Exchange,17 Ratings & 0 Reviews,Thomson,164,65.0,QLED, 164,65NEOX0009,65,1,17,0
Thomson NeoX 139 cm (55 inch) QLED Ultra HD (4K) Smart Google TV with 70W Sound Output powered by Blau...,4.3,Ultra HD (4K) | QLED Model ID: 55NEOX0011 Launch Year: 2025 Total Sound Output: 70 W 1 Year Warranty on Product,31999,36,Bank Offer,17 Ratings & 0 Reviews,Thomson,139,55.0,QLED, 139,55NEOX0011,55,1,17,0
MarQ by Flipkart 80 cm (32 inch) HD Ready LED TV,4.1,HD Ready | LED Model ID: 32HDNDQEE1B Launch Year: 2023 Total Sound Output: 24 W 12 Months Warranty,7099,58,Hot Deal,"10,499 Ratings & 790 Reviews",MarQ,80,32.0,LED, 80,32HDNDQEE1B,32,0,10499,790
TCL T6C 189 cm (75 inch) QLED Ultra HD (4K) Smart Google TV 2025 Edition with HDR 10+ | Dolby Vision- ...,4,Ultra HD (4K) | QLED Model ID: 75T6C Launch Year: 2025 Total Sound Output: 30 W 2 Years Product Warranty,68999,61,Upto 2000 Off on Exchange,"6,394 Ratings & 436 Reviews",TCL,189,75.0,QLED,6,75T6C,75,2,6394,436
KODAK MotionX 164 cm (65 inch) QLED Ultra HD (4K) Smart Google TV with 70W Sound Output | 4 Speaker | ...,4.8,Ultra HD (4K) | QLED Model ID: 65MX1212 Launch Year: 2025 Total Sound Output: 70 W 1 Year Warranty on Product,43999,37,Hot Deal,4 Ratings & 0 Reviews,KODAK,164,65.0,QLED, 164,65MX1212,65,1,4,0
KODAK MotionX 139 cm (55 inch) QLED Ultra HD (4K) Smart Google TV with 70W Sound Output | 4 Speaker | ...,4.8,Ultra HD (4K) | QLED Model ID: 55MX8888 Launch Year: 2025 Total Sound Output: 70 W 1 Year Warranty on Product,31999,36,Upto 2000 Off on Exchange,4 Ratings & 0 Reviews,KODAK,139,55.0,QLED, 139,55MX8888,55,1,4,0
acerpure Nitro 108 cm (43 inch) QLED Ultra HD (4K) Smart Google TV 2025 Edition with 120 Hz GTV 5.0 |A...,3.9,Ultra HD (4K) | QLED Model ID: AP43UG75PNTO5 Launch Year: 2025 Total Sound Output: 30 W 1 Year Comprehensive Warranty On Product,20999,58,Hot Deal,952 Ratings & 118 Reviews,acerpure,108,43.0,QLED, 108,AP43UG75PNTO5,43,1,952,118
